,reviews,stars,date,country
1342,"✅ Verified Review | It was the fist time I traveled with British Airways and I believe it will be the last. I had to reschedule my flight from Tampa to Tirana via Gatwick from December 2016 to March 2017. First, I couldn't change it online as the 'manage your flight' option didn't work (they told me it happens some times), and I tried it a lot of times before contacting them, so I had to pay +25$ for changing it via phone (they took the money even though it wasn't my fault). I made more than 50 calls from November to a day before traveling to reissuing my e-ticket. After a long wait to get connected, they took my credit card data and said they will proceed to reissuing the e-ticket and sent it to my e-mail, for nearly 6 months it never come until 1 day before the flight. Every time I called they said they didn't have my cvv which I re-confirmed every time. When asked when will I get the ticket, they said: after 10 days, which only came on 27th of March and I was to travel on 28th. Once they nearly set me to fly to Charlotte, NC, while confirming my data and cvv during one of the 50 calls I made. Besides this, the food was ridiculous, but never mind that, the anxiety, time consumed and the distress they caused can't be either bought or excused. How can a consolidated, serious company as they proclaim can be so irresponsible, unconcerned for the customer, not complying to the minimum standards? I expected soo much from them, it was a total disappointment!",1,5th June 2017,United States
1343,"✅ Verified Review |  Chicago to London Heathrow on British Airways much vaunted Sleeper Service in Business Class. Be advised, this service is a joke. Never mind the terrible, dated, seats facing one another, but the BA Sleeper Service mandates you eat in their awful Biz Class lounge at ORD, and then suffer no dinner service on the plane. This is a monumental con. Also, imagine your worst school meal in a school cafeteria, and that is what you get in the BA lounge at ORD. The food was some kind of dreadful steamed slop that you literally would not feed your dog. I used to imagine that long haul business and first class passengers were valued by trans-Atlantic airlines. The British Airways business class product is the worst by far. Old aircraft, old seats, disillusioned crew, and simply the most terrible food imaginable. British Airways hold their premium class passengers in contempt. What happened to English class and manners?",3,5th June 2017,United Kingdom
1344,✅ Verified Review |  Gatwick to Funchal. British Airways has won the race to the bottom. Leg room on this flight was appalling - worse than Ryanair. I can understand why no free food on 'short hops' but this flight was four hours. I wonder just what we gained from a 'full service' airline. Our previous British Airways flight was on a Gatwick 777 - they are adding an extra 50 seats to these planes. With the recent IT debacle they have reached the bottom and don't need to do anything else!,6,4th June 2017,United Kingdom
1345,"✅ Verified Review |  I am shocked about how the First Class on board service has deteriorated with very evident cost cutting on what is supposed to be our national flag carrier. On our flight to Tokyo Narita from London Heathrow we were advised by the Cabin Crew soon after take off that the catering supplies loaded were 'limited'. To cut a long story short, this meant that my partner, who was the last to be served, was told what was available rather than asked what he would like. This is in spite of there being only 5 passengers in the 8 seat cabin. For breakfast prior to landing, we were informed that only two cooked breakfasts were available so it would be first come first served. The presentation of the food that was available was poor & certainly not worthy of the fine dining description BA uses for its First Class catering. We spoke to the Cabin Services Manager who was extremely apologetic & confirmed that there has been cost cutting - apparently at the behest of the new CEO who comes from low cost sister airline Vueling, with a resultant increase in unhappiness & complaints from passengers. The famous First Class Tasting Menu we enjoyed on previous flights is now gone & other cost cutting around on board service is very evident - even the rose in the First Class toilet was dead which really epitomises the lacklustre airline that BA has become. I fly regularly long haul with KLM & their new Business Class offering is now far superior to BA's First. How can our national airline, with whom we should be proud to fly, compete with other superior European & Gulf carriers when the emphasis seems to be only on never ending cost cutting that now affects even the most premium passengers? The Cabin Services Manager entered a formal complaint on our behalf from on board on 3 May. Almost a month later, although immediately acknowledged, BA have not responded, probably due to more administrative cost cutting. I should add that the ground service at Heathrow T5 & the Concorde Room were very good but as regards on board service, BA offends their premium passengers like this at their peril.",1,2nd June 2017,United Kingdom
1346,"✅ Verified Review |  Absolute Cheapskates. Business class flight in 'Club Europe' from Luxembourg to London Heathrow is beyond a joke, and clearly on a shoe-string budget. No pre-meal drink offered. Limited selection of drinks, with wine served in plastic screw-top mini bottles warm with no nuts/nibbles. Meal selection consisted of a chicken salad/prawn (which looked reasonably nice however I'm allergic to seafood) or a toasted cheese roll. The roll was dry, tasteless and completely unsatisfactory, could have easily bought something better at Greggs. Crew could clearly be heard bad mouthing their CEO over the airlines recent IT 'problems'. Friendly crew though - can't help but feel sorry for them.",3,1st June 2017,United Kingdom
1347,"✅ Verified Review |  Geneva to Dallas via Heathrow. I checked online and confirmed I had two bags of allowance to check in with my premium economy seat purchased. However, when I went to the airport to check in the luggage BA insisted that I only had one bag allowance and I had to pay. I had no other choice so I paid. I checked with BA in Heathrow and they confirmed I had two bags. Now I will have to go through sending the customer service a letter to get a refund. Not happy that their system is not in coordinance with each other.",3,1st June 2017,United Kingdom
1348,"✅ Verified Review |  Choose a budget airline, the magic of our national carrier has gone. We have always chosen British Airways as our preferred carrier where possible and happy to pay a higher premium for the once great service but now it's on par or lower than other low cost carriers. Firstly we didn't get any priority boarding with our two young children. EasyJet provides this. Secondly, we reserved seats as travelling with our two children, they both fight for who is going to sit at the windows. On boarding we were told the plane has changed, therefore we now had assigned seats. Thirdly, after paying over £10 for two small alcoholic drinks for me and my wife I needed the loo, first class was out of bounds. So the only option the rear of the plane, however the crew were busy serving and not prepared to move to allow me past (I guess those drinks they were selling had the BA executive team seeing many ££££ so me being a customer needing the loo was second in priority). After a long period they moved to the rear to allow me past, but once out they had gone back to the middle of the plane. A crew member at the back galley even laughed and said your not getting back and therefore fairly offered me a free cup of tea. Our flight from Heathrow to Bergen was only an hour and 40, but I spent the majority in the rear galley chatting with the said crew member. The return flight the cabin crew had as much enthusiasm as my 80 year old grandmother and technology. The safety briefing came over a tannoy that would have sounded half decent in 1973 and to top it off, the lead steward whilst taxiing for takeof, asked the crew - ""Cabin crew, seats for landing"". The captain gave us an update on takeoff and then radio silence for the rest of the flight, even upon landing he stood at the front having a chat with the said steward as we disembarked about how some machine must have come to life with 'that landing'. All minor points, but they were the points we enjoyed with BA, points that made us choose them, small points that made the difference. The pilots at the end of the flight welcoming or thanking the customer and us thanking them, the cabin crew that always went over and beyond. The free drinks that made us feel special to ask and get, I'd rather pay a premium for all that or choose a budget airline. Gutted our British Airways national carrier has become a budget airline. Perhaps cost savings are needed, but for now, although we are a minor factor and small fry in the bigger picture, they need to cost save some more to make up our future tickets and my recommendations are now also dead. For me their USP was their service, without that there is no longer a point.",1,30th May 2017,United Kingdom
1349,"✅ Verified Review |  London Heathrow to Seoul return. I booked my return flights back in January when BA were having their annual sale for around £1700. Thought this was a bargain as they are usually up around £3000. London to Seoul flight was very pleasant. Didn't get to use the business class lounge in Heathrow as my connection from Manchester was delayed by 40 minutes. Cabin crew on the actual flight were excellent and very attentive. Food and drink was what you would expect of most business class airlines with a decent amount of high-quality menu choices. The seat layout of 2-3-2 with seats facing in the opposite direction to each other and a divider between them felt a little bit cramped. The seats were very comfortable and went flat which is better than some, however there is a fold-down seat/step in front of you that you have to use to able to stretch out fully. I'm 6'0 and found I was at my limit of being able to stretch out fully so anyone taller than that would probably be a bit uncomfortable. Inflight entertainment had a decent range of tv and films to choose from including some of the more recent releases. Toilets were also smaller and more cramped than on other airlines that I've flown business class with before. The only let down was that the cabin itself was hotter than the sun and I found it difficult to sleep because of this. Seoul to London was what really let BA down for me and left a sour note on what was an amazing 3 months in Korea. In the days leading up to the flight, BA's ""massive IT Failure"" and the lack of information and help surrounding it meant I was having to frantically check if my flight would be leaving at all, with the flights on the 27th and 28th being cancelled completely. Luckily they got it sorted in the early hours of the morning on the day of the flight. The flight and cabin crew arrived late for the flight and so take-off was delayed by 30 minutes. I had a connecting flight to catch to Manchester so it was imperative that everything went smoothly as I had just over an hour after landing to make it. The flight was lovely with the cabin crew doing an amazing job. The pilots managed to make up for lost time and so we ended up landing 5 minutes earlier than scheduled. However, due to the backlog of delayed and cancelled flights from the past couple of days, there was another flight in the space where mine was supposed to park. This meant a delay of 20 minutes while we waited on the tarmac for the space to become free. This was time I could not afford to lose. We eventually disembarked at 14:45 which meant I had to sprint through the airport to passport control and to the baggage reclaim. Really wish I hadn't as it still took 20 minutes for the bags to come off the plane. By the time I had done all this and gone through arrivals it was 15:15 and the gate was closing in 10 mins. Talked to BA customer services and got rebooked on another flight back to the IOM (where I live) from London City but they could only book me on the 14:50pm flight the next day. Wasn't at all happy with the experience overall because of this and for what you would normally pay (over £3,000 when not on sale) it really wasn't worth the hassle for me personally.",9,30th May 2017,United Kingdom
1350,"✅ Verified Review |  Los Angeles to London. British Airways has one of the worst customer service you can find. Flight attendants were rude. Seat and food are ok, but I find them worse than competitors flying this route. They don't have wifi.",1,30th May 2017,United States
1351,"✅ Verified Review |  Flew British Airways from Heathrow to Geneva. Cheapskate airline now. Only tap water available, everything else needs credit card. American family with hungry young boys couldn't buy anything for them as their machine wouldn't take US card. Return flight cancelled after 4 hours on tarmac with the IT crash. Staff brilliant, including pilot who kept ac on and updated us regularly as much as he could. Then BA ticket desk unmanned in Geneva airport, so queues just standing. We were lucky to find swissair flight home or I think we'd still be there!",3,30th May 2017,United Kingdom
1352,"✅ Verified Review |  Gatwick to Lima return in Business Class. No choice of seats until 24hr before the flight unless you paid extra (I understand their desire to reward frequent flyers but paying £50+pp per flight if you aren't is just a huge irritation factor when you have already forked out so much for biz). By the time we were able to check in, there was only one option left if we wanted to sit together. New BA lounge at LGW smart but packed out at the start of Easter holidays. Limited food offering at breakfast - no hot food at all, unless you count lukewarm pastries. FA service on flights in both directions was good, though outbound the cabin lights were switched off for the entire flight between meal services, despite it being a day flight. Food and drink were fine but nothing special - some choices not available by the time they got to us. Seating layout of 2-4-2 in business class is very cramped, especially if the flight is full - the highest-density seating I've ever experienced in business - and there was no surface to put anything on unless you had your tray table open. Small drawer at your feet. Recommend the window seat next to the bulkhead if you're travelling solo - no legs to climb over! Lie-flat seat was comfortable though for a short person. IFE was poor compared to competitors - hard to angle the screen appropriately with a limited choice of movies available. On the way home we didn't mind a long layover at LIM as we thought we could use the lounge. No such luck - we couldn't be checked in all the way through from LPB so had to pick up luggage, go through immigration again and wait several hours in a hot airport with hardly any seats before BA staff appeared to check in the flight home. Only seat choice available again were two together on the aisle side of a middle pair. Very fortunate not to have anyone in the other middle seat next to me, otherwise it would have felt very intimate with a total stranger! Haven't travelled long-haul with BA for several years and can only describe it as a functional, value service, even in Business, though it's not cheap. I'd only use BA again if they were the most convenient by a long way (as happened here for a direct flight from London), or for a great price on short-haul. There's really no comparison to Emirates' long-haul offering in Business.

",1,29th May 2017,United Kingdom
1353,"✅ Verified Review |  London Heathrow to Santorini. We flew with 6 of our family to Santorini, the business class seats are a joke I am 6'3"" but I just could not move in the seats they are so tight. We then learnt from the steward that it's a new configuration that hasn't gone down very well with customers. This once great airline that's gone from the best to the worst in 5 years, and on European routes it's no more than a budget carrier, money is the key driver for BA with customers very last on the list. We all felt we had paid for a service we never received.",10,29th May 2017,United Kingdom
1354,"✅ Verified Review |  London Heathrow to Bilbao. I fly British Airways a fair amount mainly for pleasure. But recently they are beginning to slip. My last flight was with two friends for our annual outing, this year to Bilbao. Cannot fault the staff or flight crew. However, the cancellation of free on board food for short haul is stupid. There is now no reason to use BA for short haul when there is a low cost alternative. This cost cutting may well back fire. Probably initiated by the same imbeciles who caused the computer outsourcing problems recently.",2,29th May 2017,United Kingdom
1355,✅ Verified Review |  Madeira to London. I was always of the belief that British Airways provided a better standard of economy class travel but I realise now that they are no better than budget airlines. In fact I have experienced far better service on EasyJet. We waited over 2 hours to be offered a drink and I ordered Marks & Spencer heated focaccia which had clearly been in the oven for 2 hours. On top of that there were just 2 toilets for 120 people while business class customers enjoyed 2 toilets between 20 of them. Of course we also had to queue behind the serving trolley to get to the toilet so you can imagine how long that took! They make it very clear that 'economy' class is just that but its shame the price doesn't match the standard of service. All in all a very disappointing experience and I will certainly think twice about choosing BA in future.,1,29th May 2017,United Kingdom
1356,"✅ Verified Review |  Edinburgh to Gatwick. Booked the ticket on the last minute due to missed train and tight schedule. This was my first time flying with BA and probably my last if I have other option. It didn't feel like a national carrier, felt more like budget airline with no snacks/drinks and fare class that doesn't include checked baggage. Flight was smooth enough, efficient but boarded 15mins late in Edinburgh. No service whatsoever served during the flight unless you pay an additional fee.",2,28th May 2017,Indonesia
1357,"✅ Verified Review |  Rome to London. Thursday May 18 flight scheduled to leave at 1200 delayed due to technical issues for 6 hrs and then cancelled at 1730. This caused missed connecting flight to Los Angeles. Very poor communication with passengers by desk attendants. No one took charge of our situation, information filtered through Italian speaking passengers who sought help with staff from Iberia airlines. BA staff was gone after 6pm and we were shuttled to hotel and told a rep would give us further information at hotel. No one from BA was seen or heard from at hotel. Multiple calls by passengers to BA resulted in little to no assistance. Friday, May 19 passengers are shuttled back to airport where chaos has broken out because there is little assistance once again at BA counter. After 1 hour in line I obtain a boarding pass on a flight to London with connection to Los Angeles, however the BA desk attendant informs me that the flight out of Rome is late due to technical issues and I will once again miss the flight out to LA. I'm appalled at the lack of educated, experienced BA assistance! BA abandoned us at Rome airport. In addition there web site is of no help. Flight information was outdated and impossible to this day to reach customer contact.",1,27th May 2017,United States
1358,"✅ Verified Review |  Kuala Lumpur to London. Very different from the flight over. It's all about the crew and how they perform or how serious they take their job. One crew was rude and when asked could I have a glass of water told me that it would take a long time and he disapeared down the back to chat to his fellow workers.  The food was slapped up and we were not offered another drink. All male crew and due to it being an night flight the crew spent the time down the back and ignored when called. It's a shame when you see BA trying to turn around and survive and then you have lazy rude staff giving little to no service to the customers or the airline.

",1,24th May 2017,Ireland
1359,✅ Verified Review |  Great flight from London to Kuala Lumpur on the Boeing 787-9. The crew were amazing and friendly and couldn't have done enough. The food served was of good standard and we were asked a few times if we would like more drinks. One crew member who said she had been with BA for many years was professional and excellent at her job.,1,24th May 2017,Ireland
1360,"✅ Verified Review |  London Heathrow to Miami. I was looking forward to this flight - it was Saturday so no work the following day and 62K on the upper deck used to be such a treat! I have read many reviews recently of BA falling behind the competition so my expectations were low - but even these were beaten by this overall truly awful experience. Firstly I have to say the crew on the flight were super in every way. Nothing was too much trouble and they seemed to genuinely be enjoying their work. I should have given my 'BA Golden Ticket' to one of them but forgot. However no matter how good the crew, it cannot make up for everything else being totally awful and shabby. The seat was filthy with what looked like ketchup from the previous flight and crumbs everywhere. Not a nice start. The aircraft was very very old - a lot of the interior was patched up with white gum. The IFE didn't work properly. Amenity kit was a bag and the headsets poor quality. The toilets (compared to AA) were small unpleasant. Seat is not up to most Business class standard. Food was awful and the 'club kitchen' almost non-existent. These days I would choose AA (or Delta, United, Virgin) any day over BA. It was a shame the flight manager seemed to spend his time going round the cabin apologising and giving some avios to try and make people less annoyed by the whole experience.",2,23rd May 2017,United Kingdom
1361,"✅ Verified Review |  Moscow Domodedovo to Houston via London Heathrow roundtrip in economy class.  All the flights were full in economy, with the exception of BA195 which was 2/3 to 3/4 full. British Airways flight attendents are cordial and professional. There was a wide range of beverages served, including complementary alcoholic beverages. The standard in-flight meals were not bad, but not great either. The 10-hour flight between London and Houston featured a dinner early in the flight and a snack at the end of the flight. The 4-hour flight between London and Moscow featured a snack at the beginning of the flight. I was surprised by the leg room in economy. I am not tall, but at 180 cm tall (71 inches), I was able to extend my legs fully under the seat in front of me. This made these long flights bearable. Both flights offerred headphones, blankets, and pillows. The cabin temperature on the flights to Houston was cold - I had to put on a light jacket. The cabin temperature on the flight from London to Moscow was too warm - I was sweating. When people are using the flight safety card to fan themselves, you know it is warm. The in-flight entertainment screen on the B777 in economy is of poor quality and needs to be upgraded. I could feel the heat being emitted from the screen as well. Make sure that your luggage is below the weight limit -- heavy bags are an additional 100 USD per bag.",1,22nd May 2017,Russian Federation
1362,✅ Verified Review |  London Heathrow to Brussels. Disappointed by the non existent service onboard this flight. Regardless of how short the flight may well be you expect some sort of refreshments/snacks to be provided given this isn't a low carrier airline. However BA have hit rock bottom in that they charge premium rates but give low carrier service - certainly on short haul flights.,3,22nd May 2017,United Kingdom
1363,"✅ Verified Review |  London Heathrow to Las Vegas. Paid £116 for extra legroom 51C, as they show the wrong type of plane on 'my booking' and there is no difference to any other seat you would get for free. No refund given as it states it may be different aircraft used. Problem is this route has always used the same type of aircraft so it's basically a con.",3,20th May 2017,United Kingdom
1364,"✅ Verified Review |  London Heathrow to San Francisco return and pleasantly surprised with the service. All flights were on time and arrived ahead of schedule. Online check-in and baggage drop straightforward and without hassle. Food was excellent - particularly on outbound flight. My partner is vegetarian, and we both opted for vegetarian Hindu meal which proved to be delicious. Aircraft in good order and clean. Cabin crew - particularly on way out - were professional, attentive and friendly. Inflight entertainment choice was generally good, offering something for everyone. The only criticism is that seat-choice function is too expensive - even for economy class. British Airways are being very greedy in this respect, and their charges are way higher than other carriers. This was generally a positive experience.",4,19th May 2017,United Kingdom
1365,"❎ Unverified |  London to Reykjavik. I can't really review this flight as British Airways decided to cancel my return flight and then my outbound and suggested I reduce a 4 day family holiday to 2 days. Ruined Xmas. I can review the total lack of customer service, the contempt for customers - all in all, BA are not just the worst airline, but the worst company I have dealt with. My rating has to be the lowest given the total service failures of BA.",2,17th May 2017,United Kingdom
1366,"✅ Verified Review |  On this route from Amsterdam to Tokyo Haneda via London Heathrow we had the expected service onboard. The first flight was slightly delayed, but our transfer time was more then 3 hours, so that didn't cost any problem. The cabin crew did their best to statisfy every passenger at the flight to HND. When we got our luggage we discovered that one of the suitcases was damaged. At HND Japan Airlines is the agent for British airways and as it cost time to explain everything. Their service was great. They filed a report to BA and when we are back from the journey we should contact BA to claim the damage. We did and within a few days we got a really extensive response and were compensated. Despite this damaged suitcase it was handled great. That's what made the difference to me.",6,17th May 2017,Netherlands
1367,"✅ Verified Review |  Antigua to Gatwick. Check in at the new terminal was quick and efficient (better than Gatwick) and although we had a slight delay at immigration, we were soon airside. The new lounge was really comfortable and although we didn't use it (it was dark when we were there) they have an excellent sky terrace with loungers and shaded sofa's etc. The bar was manned by helpful staff with a small but tasty selection of food. Boarding was on time. On board it was soon evident that the interior of the plane had seen better days with my wife's TV nearly falling off its mounting. Fortunately she was able to position it during the flight so that it stayed in place but it was quite precarious. Push back and departure was exactly on time. Within a short time the crew started the evening service and this is where it all seemed quite strange. Unlike the flight out, where there was a more relaxed atmosphere, the crew seemed to feel there was a need to rush whatever they were doing to the point that some of them were literally running down the aisles. The food was hurriedly delivered to us and was disappointingly under seasoned and pretty tasteless. I can only assume that the object of their haste was to get everyone fed and watered and bedded down as quickly as possible. To be quite honest I felt like we were being looked after by a nanny and told to go to bed early and I almost expected them to say 'I want you to go to sleep now and I don't want to here a sound out any of you until the morning'! Now I know that the crew are all entitled to their breaks etc, but at the end of the day (or night) they are working and are getting paid to do so. In my opinion if they just slowed down a little and had more time for the passengers, it would improve the flight considerably. Breakfast was OK although I seemed to be the only person trying the bacon rolls and after one mouthful I understood why. In a blind tasting I probably would have guessed I was eating rubber bands. We arrived on time and after quite a long walk to immigration and the baggage reclaim, our cases were waiting for us. Overall very disappointing and based on this flight I would not recommend BA.",5,16th May 2017,United Kingdom
1368,"✅ Verified Review |  London Heathrow to Amsterdam Schipol on BA434, landed at 14:30. Luggage did not arrive. Contacted ground agent - they could not be less interested. Was given some toiletries but no essentials such as cleanser or moisturiser. As it was a Sunday, all shops at Amsterdam were closed at 5pm so was not able to buy essentials like make up. Called the luggage call centre 3 times. The first time the agent put a note in the system to say that I needed my luggage urgently because of a customer meeting the next day. Then received message on phone that the luggage would be on a flight arriving at 20:20, subject to conditions. Called again to check if the luggage had left Heathrow. Agent could not tell and rudely told me to wait. Called again at 21:00 and finally got through. Agent said she would get someone to call me to let me know if it was possible for me to pick up the luggage at Schipol. No one called. Called the next day. All the agent could tell me was that he had no idea when my luggage would be delivered. Message to BA management: you can do better by having a truly on line tracing system and fulfilment system, by employing people who do care about your customers, and forget about telling your customers that 90% of people get their luggage back within 72 hours. For business travellers, that offers zero comfort. Take a leaf off Qatar Airways, one of your One World partners, they tell their customers if their luggage follows them during transit. And Qatar Airways ground service staff show that they do care.",2,15th May 2017,United Kingdom
1369,"✅ Verified Review |  I was pleasantly surprised with British Airways on both outbound and inbound flights from Orlando to Gatwick after reading the reviews. I would go as far as to say I would choose them over Virgin now unless there was a dramatic price difference. The crew both ways were friendly and really helpful, I have found Virgin crew to be a bit up themselves thinking they are a cut above the rest. Contrary to how Virgin crew are on an overnight flight (serve food, dim lights and keep out the way until hour before landing) BA crew still regularly came round making sure everyone was ok and if anyone wanted anything. We had nearly 3 hour delay leaving Orlando on G-VIIU, firstly due to inbound being a bit late due to an alligator closing the runway and finally a medical issue on board whilst positioned on runway to go. We returned to gate for paramedics, top up of fuel etc and departed at 20.20 versus 17.35. Throughout the crew were fantastic bringing drinks round and keeping us all informed. Whilst the interior of the leisure fleet of 777 is a bit on the tired side it was still comfortable I can recommend 24D as there is no PAX seat behind just a crew seat so no issues with being kneed in the back. For economy class leg room was good. Food was fairly decent for aircraft food. Only slight negative was the dated AVOD as it has small screens and not a great deal of choice compared to more modern systems.",4,15th May 2017,United Kingdom
1370,"❎ Unverified |  London to Hong Kong. The Avios system is now a complete joke. They are impossible to spend. They release a minuscule number of flights and won't allow you to upgrade using them even when there is availability - they've just quoted me nearly £2,000 to upgrade a flight this evening so I know there's availability - but they won't let me use Avios. Their concept of customer service is shocking and smacks of an ex nationalised carrier. More modern airlines with easy to use air miles booking systems like Emirates deserve to be successful over this relic of an airline.",6,14th May 2017,United Kingdom
1371,"✅ Verified Review |  Flew Premium Economy from London to Toronto in a Boeing 787. Noisy aircraft - third time on this plane and not impressed. Seamless use of boarding pass on my smart phone (first time I have done this), as well as self-serve baggage drop. Flight good, cabin crew pleasant, food OK-ish, though nothing special. Back on a 777, more comfortable and quieter than 787, though still nowhere near A380 standards. Crew excellent, food unexpectedly good (the veggie lasagne was one of the best I've ever had), and the wine of a good quality. Luggage appeared promptly at both ends. Overall a good experience.",1,14th May 2017,United Kingdom
1372,✅ Verified Review |  Mexico City to Copenhagen via London. It appears inflight service has improved a bit in Club and the food is now edible and available. In flight entertainment reminds one of the VHS days. Number of films available is rather limited. Timing with food was great. Served quickly after take off and again late before arrival. Made time for a good rest. Configuration in club is not my favourite with reversed seats. Some crew choose to open the curtain every time the serve while other serve in front of you which will give you a better feeling of a private space Best thing about ba is that its cheap and you can have the Dorset crab for lunch at Fornum and Mason in terminal 5. Ba refuses to credit Qatar Airways avios even when Qatar Airways in writing has confirmed they should be credited. Showing one level on my online profile right now and anotheron my ticket. I have given up on avios.,8,13th May 2017,Mexico
1373,"✅ Verified Review |  London to Santiago de Chile. Surprisingly pleasing flight onboard Boeing 787, decided to give it a try to a rear facing business class window seat and discovered the B787 is - or looks - far lighter and wider than any B777 I've been travelling on (could be larger windows or the fuselage shape which makes the ""cocoon"" look less cramped). Even the seat looks wider, while the IFE screen is wider with a higher resolution. The odd ""ying-yang"" layout is slightly better on Boeing 787 as the central rows do not have the honeymoon seats, therefore you won't share such a narrow space with a stranger in case you end up there. So first impression better than usual; unfortunately the soft product remains way below par (I pre-ordered the main dish of the meal which this time was actually available, but the beef was overcooked and chewy), I will never stop mentioning that the amenity kit is simply ridiculous - sort of a blue shoe bag, too small to fit shoes though. The crew very friendly but slightly less attentive than usual. Overall the experience was better than usual - mainly thanks to a newer, quieter aircraft - but BA is not improving where they should, in those details that make business class something worth EUR3,000 spent. Still no wi-fi on BA. Not commenting the ying-yang layout, which remains a mystery to me (who approved such a nonsense?).",9,13th May 2017,Italy
1374,"✅ Verified Review |  Gatwick to Amsterdam. As a regular flyer with BA, my experience is that they have some of the best pilots and their inflight staff make all the efforts to give the airline an image. Beyond that, they have some of the worst airport desk staff in the industry. They have no solution for the slightest problem! We were scheduled to fly to Amsterdam on the 1st of Feb at 07.45, there was a radar problem in Amsterdam. Easyjet etc were informing their customers of development, nobody informed anyone at the BA desk until it became a confusion at almost 09.30! We were rescheduled to the 11.40 flight with another further 2 hours delay. Before this I have been advised to book a ticket to guarantee a seat on the 11.40 flight. I now had two sets of ticket for same flight. Up to now, getting a refund is a nightmare!",1,13th May 2017,United Kingdom
1375,"✅ Verified Review |  How far BA has sunk! Flew London Heathrow to Nice and back last week - surly and unfriendly cabin crew, food and drinks for purchase. Does BA stand for Budget Airline now? I never thought I'd see the day when I would say BA has sunk to (and below) the levels of Ryanair service, yet still around 7x more expensive!",6,12th May 2017,United Kingdom
1376,"✅ Verified Review |  I was very disappointed because on my flight from Athens to London (a 4 hour flight) no food or drinks were offered for free. We even had to pay for water! This was not a low price flight and everyone (except business class) had to buy any food or drinks. Very very disappointed, as other European airlines provide free food and drink/snacks, even from countries such as Greece (Aegean Airlines). Will not choose BA again.",4,12th May 2017,United States
1377,"✅ Verified Review |  I flew London Heathrow to Cape Town, to board the Queen Elizabeth, Cunard had included a flight via the Middle East, which at the time did not make sense, so I paid the additional £120 each to fly direct with BA, the airline I knew and trusted for 30 years. The check-in was smooth which encouraged me that I had made the right choice. However on-board the ageing Boeing 747 nothing else was worth talking about, the food and the service are clearly working to a lower standard than I have previously had with BA. The space available was tight for me; an average sized man - I don't know how a larger and or taller person would manage. BA has lost two loyal customers, but at least they will squeeze more profit from those people who remain. On my next long-haul I will regretfully opt for an alternative airline.",1,11th May 2017,United Kingdom
1378,✅ Verified Review |  My wife and I flew British Airways from London Heathrow to Berlin Tegel in Club Europe. This was a free Avios upgrade. Having the middle seat blocked and a meal is the only onboard difference to economy. We paid for seat selection which I would not have been wiling to do if I had paid the silly prices charged for these short flights. Good value if a free upgrade.,8,11th May 2017,United Kingdom
1379,"✅ Verified Review |  British Airways from Rio de Janeiro to London Heathrow. I booked premium economy to get more legroom as I am 6ft8, however this is non-existent. The crew were rude and when the lady in front of me decided to recline the seat for her 2-year old, and I asked the crew to ""help"" with the situation, they told me that it's the passenger's right to do whatever they want. So no common sense there. Despite having other seats available in the business area, they refused to move me, even though they were seeing the issue (I couldn't fit in my seat for a 10 hour flight). They even told us off as they were getting aggravated by us being nosy! I had to pay extra 100 pounds each way to reserve 2 seats! Needless to say the food is awful and the service overall is 0/5 stars. This is not the BA that people once knew. It's under IAG and new ""leadership"" team that aim to cut expenses at any cost, one of them being customer service. Avoid like the plague!",1,10th May 2017,United Kingdom
1380,"✅ Verified Review |  London Heathrow to Edinburgh. Awful, awful company. My 'randomly' allocated seats were middle seats in the back two rows on both flights, seems like punishment for not paying their charge to select seats. I'm not too bothered about the lack of drinks / meal service but can see that the system they have created is a shambles - no cash payment option, not enough stock etc etc. On arrival back at Heathrow T5, we were parked on a remote stand by T3 and then had to wait an hour for a bus to the terminal. The staff could not have cared less and spent the time chatting about how low BA had sunk, how staff morale was terrible and how they could escape! Save your cash and go with a genuine budget airline would be my advice.",9,9th May 2017,United Kingdom
1381,"✅ Verified Review |  Although they indicate it's against their policies, they apparently waited for a passenger to get on the flight from New York JFK to London Heathrow, causing a 20 min delay. As a result, we missed our connecting flight. For all the other connections that were missed, they had arranged for alternatives and announced them before the flight landed. However, they did not announce any arrangement for out flight, even though we specifically asked the flight attendant to check. This is the second time in two years I had poor experience with British Airways. Their service is consistently unacceptable.",3,9th May 2017,Canada
